cohort_month,order_month,month_number,active_customers
2016-09-01,2016-09-01,0,1
2016-10-01,2016-10-01,0,262
2016-10-01,2017-04-01,6,1
2016-10-01,2017-07-01,9,1
2016-10-01,2017-09-01,11,1
2016-10-01,2017-11-01,13,1
2016-10-01,2018-01-01,15,1
2016-10-01,2018-03-01,17,1
2016-10-01,2018-05-01,19,2
2016-10-01,2018-06-01,20,2
2016-12-01,2016-12-01,0,1
2016-12-01,2017-01-01,1,1
2017-01-01,2017-01-01,0,717
2017-01-01,2017-02-01,1,2
2017-01-01,2017-03-01,2,2
2017-01-01,2017-04-01,3,1
2017-01-01,2017-05-01,4,3
2017-01-01,2017-06-01,5,1
2017-01-01,2017-07-01,6,3
2017-01-01,2017-08-01,7,1
2017-01-01,2017-09-01,8,1
2017-01-01,2017-11-01,10,3
2017-01-01,2017-12-01,11,1
2017-01-01,2018-01-01,12,5
2017-01-01,2018-02-01,13,3
2017-01-01,2018-03-01,14,1
2017-01-01,2018-04-01,15,1
2017-01-01,2018-05-01,16,2
2017-01-01,2018-06-01,17,3
2017-01-01,2018-08-01,19,1
2017-02-01,2017-02-01,0,1628
2017-02-01,2017-03-01,1,3
2017-02-01,2017-04-01,2,5
2017-02-01,2017-05-01,3,2
2017-02-01,2017-06-01,4,7
2017-02-01,2017-07-01,5,2
2017-02-01,2017-08-01,6,4
2017-02-01,2017-09-01,7,3
2017-02-01,2017-10-01,8,2
2017-02-01,2017-11-01,9,3
2017-02-01,2017-12-01,10,2
2017-02-01,2018-01-01,11,5
2017-02-01,2018-02-01,12,2
2017-02-01,2018-03-01,13,3
2017-02-01,2018-04-01,14,2
2017-02-01,2018-05-01,15,1
2017-02-01,2018-06-01,16,1
2017-02-01,2018-07-01,17,3
2017-03-01,2017-03-01,0,2503
2017-03-01,2017-04-01,1,11
2017-03-01,2017-05-01,2,9
2017-03-01,2017-06-01,3,10
2017-03-01,2017-07-01,4,9
2017-03-01,2017-08-01,5,4
2017-03-01,2017-09-01,6,4
2017-03-01,2017-10-01,7,8
2017-03-01,2017-11-01,8,8
