month,revenue,order_count,cumulative_revenue
2016-10,46566.71,265,46566.71
2016-12,19.62,1,46586.33
2017-01,127545.67,750,174132.0
2017-02,271298.65,1653,445430.65
2017-03,414369.39,2546,859800.04
2017-04,390952.18,2303,1250752.22
2017-05,567066.73,3546,1817818.95
2017-06,490225.6,3135,2308044.55
2017-07,566403.93,3872,2874448.48
2017-08,646000.61,4193,3520449.09
2017-09,701169.99,4150,4221619.08
2017-10,751140.27,4478,4972759.35
2017-11,1153528.05,7289,6126287.4
2017-12,843199.17,5513,6969486.57
2018-01,1078606.86,7069,8048093.43
2018-02,966510.88,6555,9014604.31
2018-03,1120678.0,7003,10135282.31
2018-04,1132933.95,6798,11268216.26
2018-05,1128836.69,6749,12397052.95
2018-06,1012090.68,6099,13409143.63
2018-07,1027903.86,6159,14437047.49
2018-08,985414.28,6351,15422461.77
